
,,,,,,,,,,,,,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Shooting,Advanced,Advanced
Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
83,2013,NBA,2,37,DET,Tony Mitchell,21.086,F,,University of North Texas,2014,2014,21,3.8,1.0,1.2,0.1,0.3,0.1,.417,.364,1.000,.579,0.2,.151
84,2014,NBA,1,8,SAC,Nik Stauskas,20.267,G,,University of Michigan,2015,2016,110,18.1,5.3,1.6,1.2,0.4,0.3,.360,.415,.317,.782,0.2,.006
85,2014,NBA,2,33,CLE,Joe Harris,22.298,G,,University of Virginia,2015,2016,56,9.1,2.5,0.8,0.5,0.1,0.0,.395,.472,.364,.600,0.2,.017
86,2014,NBA,2,38,DET,Spencer Dinwiddie,21.086,G,,University of Colorado,2015,2016,43,13.2,4.3,1.3,2.7,0.5,0.1,.320,.397,.181,.792,0.2,.021
87,2015,NBA,1,28,BOS,R.J. Hunter,21.249,G,,Georgia State University,2016,2016,21,11.5,3.2,1.4,0.4,0.6,0.2,.347,.520,.255,.833,0.2,.050
88,2013,NBA,1,25,LAC,Reggie Bullock,22.109,G-F,,University of North Carolina,2014,2016,96,8.5,2.0,1.2,0.2,0.2,0.1,.324,.370,.295,.762,0.1,.005
89,2014,NBA,2,43,ATL,Walter Tavares,22.101,C,,,2016,2016,7,7.7,2.7,2.1,0.1,0.1,0.7,.533,.533,,.375,0.1,.058
90,2014,NBA,2,48,MIL,Lamar Patterson,22.324,G-F,,University of Pittsburgh,2016,2016,29,12.8,2.7,1.7,1.3,0.2,0.1,.366,.536,.256,.700,0.1,.018
91,2015,NBA,2,33,BOS,Jordan Mickey,20.356,F,,Louisiana State University,2016,2016,3,2.0,2.3,1.0,0.3,0.0,0.3,.667,.667,,1.000,0.1,.936
92,2013,NBA,2,33,CLE,Carrick Felix,22.320,G,,Arizona State University,2014,2014,7,5.4,2.7,0.9,0.6,0.0,0.0,.500,.556,.400,.750,0.0,.057
93,2013,NBA,2,41,MEM,Jamaal Franklin,21.347,G,,San Diego State University,2014,2015,24,7.3,1.8,1.0,0.4,0.2,0.1,.415,.393,.462,1.000,0.0,-0.006
94,2013,NBA,2,46,UTA,Erick Green,22.055,G,,Virginia Polytechnic Institute and State University,2015,2016,46,9.1,3.2,0.7,0.9,0.3,0.0,.374,.409,.292,.833,0.0,-0.001
95,2013,NBA,2,52,MIN,Lorenzo Brown,22.311,G,,North Carolina State University,2014,2015,55,14.1,3.4,1.8,2.4,0.7,0.2,.375,.460,.155,.656,0.0,-0.002
96,2014,NBA,1,28,LAC,C.J. Wilcox,23.184,G,,University of Washington,2015,2016,22,4.6,1.9,0.3,0.4,0.1,0.0,.421,.474,.368,1.000,0.0,-0.024
97,2015,NBA,1,18,HOU,Sam Dekker,21.055,F,,University of Wisconsin,2016,2016,3,2.0,0.0,0.3,0.0,0.3,0.0,,,,,0.0,.112
98,2015,NBA,2,38,DET,Darrun Hilliard,22.078,G,,Villanova University,2016,2016,12,6.7,2.9,0.8,0.2,0.1,0.0,.297,.280,.333,.818,0.0,-0.009
99,2015,NBA,2,40,MIA,Josh Richardson,21.288,G,,University of Tennessee,2016,2016,14,8.9,1.6,1.1,0.6,0.1,0.1,.300,.200,.400,.600,0.0,.015
100,2015,NBA,2,43,IND,Joseph Young,23.003,G,,University of Oregon,2016,2016,13,5.2,1.8,0.8,0.6,0.2,0.0,.296,.333,.167,.778,0.0,-0.025
