Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
76,2014,NBA,2,44,MIN,Markel Brown,22.154,G,,Oklahoma State University,2015,2016,68,14.8,4,1.9,0.8,0.6,0.2,0.347,0.397,0.253,0.797,0.4,0.02
77,2015,NBA,1,5,ORL,Mario Hezonja,20.125,F-G,,,2016,2016,35,13.5,4.4,1.7,1,0.2,0.1,0.437,0.457,0.411,0.913,0.4,0.037
78,2015,NBA,1,15,ATL,Kelly Oubre,19.203,F,,University of Kansas,2016,2016,28,13.3,4.6,2.5,0.4,0.3,0.1,0.439,0.46,0.409,0.692,0.4,0.056
79,2015,NBA,1,22,CHI,Bobby Portis,20.14,F,,University of Arkansas,2016,2016,15,16.5,7.7,5.3,0.7,0.6,0.4,0.467,0.489,0.333,0.733,0.4,0.077
80,2014,NBA,1,7,LAL,Julius Randle,19.214,F,,University of Kentucky,2015,2016,39,26.1,10.4,9.2,1.6,0.7,0.3,0.402,0.408,0.278,0.677,0.3,0.016
81,2015,NBA,1,12,UTA,Trey Lyles,19.237,F,,University of Kentucky,2016,2016,35,16.8,3.6,4.1,0.7,0.2,0.2,0.383,0.382,0.391,0.652,0.3,0.028
82,2015,NBA,2,32,HOU,Montrezl Harrell,21.155,F,,University of Louisville,2016,2016,20,10.4,3.3,1.7,0.3,0.3,0.3,0.634,0.634,,0.52,0.3,0.078
83,2013,NBA,2,37,DET,Tony Mitchell,21.086,F,,University of North Texas,2014,2014,21,3.8,1,1.2,0.1,0.3,0.1,0.417,0.364,1,0.579,0.2,0.151
84,2014,NBA,1,8,SAC,Nik Stauskas,20.267,G,,University of Michigan,2015,2016,110,18.1,5.3,1.6,1.2,0.4,0.3,0.36,0.415,0.317,0.782,0.2,0.006
85,2014,NBA,2,33,CLE,Joe Harris,22.298,G,,University of Virginia,2015,2016,56,9.1,2.5,0.8,0.5,0.1,0,0.395,0.472,0.364,0.6,0.2,0.017
86,2014,NBA,2,38,DET,Spencer Dinwiddie,21.086,G,,University of Colorado,2015,2016,43,13.2,4.3,1.3,2.7,0.5,0.1,0.32,0.397,0.181,0.792,0.2,0.021
87,2015,NBA,1,28,BOS,R.J. Hunter,21.249,G,,Georgia State University,2016,2016,21,11.5,3.2,1.4,0.4,0.6,0.2,0.347,0.52,0.255,0.833,0.2,0.05
88,2013,NBA,1,25,LAC,Reggie Bullock,22.109,G-F,,University of North Carolina,2014,2016,96,8.5,2,1.2,0.2,0.2,0.1,0.324,0.37,0.295,0.762,0.1,0.005
89,2014,NBA,2,43,ATL,Walter Tavares,22.101,C,,,2016,2016,7,7.7,2.7,2.1,0.1,0.1,0.7,0.533,0.533,,0.375,0.1,0.058
90,2014,NBA,2,48,MIL,Lamar Patterson,22.324,G-F,,University of Pittsburgh,2016,2016,29,12.8,2.7,1.7,1.3,0.2,0.1,0.366,0.536,0.256,0.7,0.1,0.018
91,2015,NBA,2,33,BOS,Jordan Mickey,20.356,F,,Louisiana State University,2016,2016,3,2,2.3,1,0.3,0,0.3,0.667,0.667,,1,0.1,0.936
92,2013,NBA,2,33,CLE,Carrick Felix,22.32,G,,Arizona State University,2014,2014,7,5.4,2.7,0.9,0.6,0,0,0.5,0.556,0.4,0.75,0,0.057
93,2013,NBA,2,41,MEM,Jamaal Franklin,21.347,G,,San Diego State University,2014,2015,24,7.3,1.8,1,0.4,0.2,0.1,0.415,0.393,0.462,1,0,-0.006
94,2013,NBA,2,46,UTA,Erick Green,22.055,G,,Virginia Polytechnic Institute and State University,2015,2016,46,9.1,3.2,0.7,0.9,0.3,0,0.374,0.409,0.292,0.833,0,-0.001
95,2013,NBA,2,52,MIN,Lorenzo Brown,22.311,G,,North Carolina State University,2014,2015,55,14.1,3.4,1.8,2.4,0.7,0.2,0.375,0.46,0.155,0.656,0,-0.002
96,2014,NBA,1,28,LAC,C.J. Wilcox,23.184,G,,University of Washington,2015,2016,22,4.6,1.9,0.3,0.4,0.1,0,0.421,0.474,0.368,1,0,-0.024
97,2015,NBA,1,18,HOU,Sam Dekker,21.055,F,,University of Wisconsin,2016,2016,3,2,0,0.3,0,0.3,0,,,,,0,0.112
98,2015,NBA,2,38,DET,Darrun Hilliard,22.078,G,,Villanova University,2016,2016,12,6.7,2.9,0.8,0.2,0.1,0,0.297,0.28,0.333,0.818,0,-0.009
99,2015,NBA,2,40,MIA,Josh Richardson,21.288,G,,University of Tennessee,2016,2016,14,8.9,1.6,1.1,0.6,0.1,0.1,0.3,0.2,0.4,0.6,0,0.015
100,2015,NBA,2,43,IND,Joseph Young,23.003,G,,University of Oregon,2016,2016,13,5.2,1.8,0.8,0.6,0.2,0,0.296,0.333,0.167,0.778,0,-0.025
101,2015,NBA,2,56,NOP,Branden Dawson,22.149,F,,Michigan State University,2016,2016,2,6.5,1,1.5,0,0,0.5,0.333,0.333,,,0,0.062
102,2013,NBA,1,1,CLE,Anthony Bennett,20.11,F,,University of Nevada Las Vegas,2014,2016,119,13.6,4.5,3.3,0.5,0.4,0.2,0.388,0.414,0.253,0.652,-0.1,-0.002
103,2013,NBA,2,40,POR,Grant Jerrett,19.359,F,,University of Arizona,2015,2015,8,6.4,2,1.1,0.4,0.3,0.3,0.269,0.545,0.067,1,-0.1,-0.128
104,2013,NBA,2,49,CHI,Erik Murphy,22.25,F,,University of Florida,2014,2014,24,2.6,0.3,0.3,0.1,0,0.2,0.231,0.3,0,,-0.1,-0.055
105,2014,NBA,1,5,UTA,Dante Exum,18.353,G,,,2015,2015,82,22.2,4.8,1.6,2.4,0.5,0.2,0.349,0.408,0.314,0.625,-0.1,-0.003
106,2014,NBA,2,31,MIL,Damien Inglis,19.042,F,,,2016,2016,8,5.3,1,1.1,0.3,0.3,0,0.25,0.333,0.2,0.75,-0.1,-0.082
107,2014,NBA,2,42,HOU,Nick Johnson,21.191,G,,University of Arizona,2015,2015,28,9.4,2.6,1.4,0.4,0.3,0.1,0.347,0.389,0.238,0.68,-0.1,-0.02
108,2014,NBA,2,49,CHI,Cameron Bairstow,23.207,F-C,,University of New Mexico,2015,2016,25,3.6,0.7,0.7,0,0.1,0,0.269,0.292,0,0.8,-0.1,-0.031
109,2015,NBA,1,2,LAL,D'Angelo Russell,19.127,G,,Ohio State University,2016,2016,37,27.1,11.7,3.9,3.4,1.2,0.2,0.405,0.464,0.318,0.686,-0.1,-0.005
110,2015,NBA,1,20,TOR,Delon Wright,23.065,G,,University of Utah,2016,2016,8,2.9,0.3,0.8,0.5,0,0,0.125,0.143,0,,-0.1,-0.19
111,2015,NBA,1,21,DAL,Justin Anderson,21.223,G,,University of Virginia,2016,2016,21,6.7,2.2,1.1,0.2,0.1,0.1,0.409,0.565,0.238,0.5,-0.1,-0.018
